id,domain,concept,definition_query,application_query,expected_answer
5165,Procedural Concepts,workflow,Define the concept of workflow.,"Based on this definition, does the following satisfy it?",yes
5166,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",no
5167,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",no
5168,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
5169,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5170,Mathematics & Logic,relation,Define the concept of relation.,"Based on this definition, does the following satisfy it?",yes
5171,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5172,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
5173,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
5174,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",yes
5175,Scientific Concepts,force,Define the concept of force.,"Based on this definition, does the following satisfy it?",yes
5176,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5177,Mathematics & Logic,prime number,Define the concept of prime number.,"Based on this definition, does the following satisfy it?",no
5178,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",yes
5179,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
5180,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
5181,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5182,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5183,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",no
5184,Abstract Properties,efficiency,Define the concept of efficiency.,"Based on this definition, does the following satisfy it?",yes
5185,Common Nouns,fruit,Define the concept of fruit.,"Based on this definition, does the following satisfy it?",yes
5186,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5187,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",no
5188,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
5189,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",yes
5190,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5191,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5192,Common Nouns,chair,Define the concept of chair.,"Based on this definition, does the following satisfy it?",yes
5193,Scientific Concepts,planet,Define the concept of planet.,"Based on this definition, does the following satisfy it?",yes
5194,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",yes
5195,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5196,Social & Ethical Concepts,fairness,Define the concept of fairness.,"Based on this definition, does the following satisfy it?",yes
5197,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5198,Scientific Concepts,acid,Define the concept of acid.,"Based on this definition, does the following satisfy it?",no
5199,Scientific Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5200,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5201,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5202,Abstract Properties,stability,Define the concept of stability.,"Based on this definition, does the following satisfy it?",no
5203,Social & Ethical Concepts,honesty,Define the concept of honesty.,"Based on this definition, does the following satisfy it?",no
5204,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",yes
5205,Scientific Concepts,enzyme,Define the concept of enzyme.,"Based on this definition, does the following satisfy it?",yes
5206,Social & Ethical Concepts,responsibility,Define the concept of responsibility.,"Based on this definition, does the following satisfy it?",no
5207,Procedural Concepts,protocol,Define the concept of protocol.,"Based on this definition, does the following satisfy it?",no
5208,Common Nouns,device,Define the concept of device.,"Based on this definition, does the following satisfy it?",yes
5209,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",yes
5210,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",no
5211,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
5212,Common Nouns,animal,Define the concept of animal.,"Based on this definition, does the following satisfy it?",yes
5213,Abstract Properties,symmetry,Define the concept of symmetry.,"Based on this definition, does the following satisfy it?",no
5214,Common Nouns,vehicle,Define the concept of vehicle.,"Based on this definition, does the following satisfy it?",yes
5215,Scientific Concepts,cell,Define the concept of cell.,"Based on this definition, does the following satisfy it?",no
5216,Mathematics & Logic,function,Define the concept of function.,"Based on this definition, does the following satisfy it?",no
5217,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
5218,Social & Ethical Concepts,justice,Define the concept of justice.,"Based on this definition, does the following satisfy it?",yes
5219,Abstract Properties,continuity,Define the concept of continuity.,"Based on this definition, does the following satisfy it?",no
5220,Procedural Concepts,algorithm,Define the concept of algorithm.,"Based on this definition, does the following satisfy it?",no
5221,Procedural Concepts,procedure,Define the concept of procedure.,"Based on this definition, does the following satisfy it?",no
